,Packet_payload,TTP
10,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 3d 8d 06 1f d7 ea a0 00 e5 27 fe ca 9b 96 98 c7,TA0001 T1190 T1190.000
11,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff e9 52 27 98 6a a5 1b 5f 9b 0c fb e5 62 89 86 f2,TA0001 T1190 T1190.000
12,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 27 40 16 e9 d8 70 fb 0a b4 02 81 cd ec f8 79 bc,TA0001 T1190 T1190.000
13,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 32 0d 9a 5b 7d 64 fa ac 9b c2 6c 49 79 75 ac 27,TA0001 T1190 T1190.000
14,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 21 88 f4 5f 43 d1 b5 27 5c 84 79 bb cd a7 ca a9,TA0001 T1190 T1190.000
15,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff bf 94 4e e3 1f d3 ba 5b d3 27 da 53 45 e6 a2 20,TA0001 T1190 T1190.000
16,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 27 98 54 03 49 24 44 be 93 d3 a6 8e a1 fa f5 91,TA0001 T1190 T1190.000
17,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff f3 b9 1e 3f 4a 16 47 a6 df 51 a8 d7 c9 c6 27 70,TA0001 T1190 T1190.000
18,53 54 4f 52 20 2f 56 69 64 65 6f 2e 73 63 72 0d 0a,TA0011 T1071 T1071.002
19,53 54 4f 52 20 49 4d 47 30 30 31 2e 65 78 65 0d 0a,TA0011 T1071 T1071.002
