,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,Packet_payload
0,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff d0 44 91 bf 1b 3c f8 a0 27 cf b7 29 c5 3b 3d 0c
1,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff db 27 b1 3e e1 77 ba ac a3 90 f8 92 da c2 cc 1c
2,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 27 6c 5d b8 88 7a fa 4e 34 a9 75 3d 4b e6 ac 46
3,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff aa a0 24 50 31 3c bc 3e 85 7b 20 17 59 cb 27 09
4,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 15 4f 25 ae 12 56 27 f2 74 ad a8 b9 a2 56 fa af
5,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 41 a7 db 90 1e 27 bf 36 70 0b ef e2 ac 10 ae 38
6,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 38 c7 1f 67 77 46 fb 53 65 27 7d ba 6e 8d 87 0a
7,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff ac 26 31 03 2d 27 32 da 32 8c c3 b9 97 98 5a 36
8,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff e9 95 ea 52 fe 27 d4 04 13 53 f0 24 24 2e 38 a4
9,2,9782,3057,5598,6273,6273,3461,74,1066,3461,3461,3461,2571,3461,3461,5425,3461,3461,6552,5598,3461,5351,3461,3461,5821,3461,3461,6199,3461,3461,3226,3461,3461,6273,3461,3461,5598,3461,3461,2783,3461,3461,6430,3461,3461,3234,3461,3461,3354,3461,3461,5946,3461,3461,6898,3461,3461,2401,3461,3461,23,1006,3461,3461,21,1006,3461,3461,3057,3461,3461,5073,3461,3461,5763,3461,3461,20,1006,3461,3461,21,1053,3461,3461,22,1066,3461,3461,6159,3461,3461,23,1053,3461,3461,69,1092,3461,3461,69,1063,3461,3461,69,1077,3461,3461,29,1066,3461,3461,26,1053,3461,3461,26,1006,3461,3461,9547,3461,3461,9461,3461,3461,6541,3,4,81 18 01 03 03 00 ff 00 00 00 10 00 00 05 00 00 04 01 00 80 00 00 02 00 00 08 00 00 14 00 00 03 00 00 01 00 00 15 00 00 06 00 00 16 00 00 17 00 00 33 00 00 39 00 00 19 00 00 3a 00 00 1a 00 00 18 00 00 35 00 00 09 00 00 0a 00 00 1b 00 00 2f 00 00 34 00 00 3b 00 00 a5 00 00 a3 00 00 a1 00 00 9f 00 00 6b 00 00 6a 00 00 69 00 00 68 00 00 38 00 00 37 00 00 36 00 00 88 00 00 87 00 00 86 00 00 85 00 00 a7 00 00 6d 00 00 89 00 00 9d 00 00 3d 00 00 84 00 00 a4 00 00 a2 00 00 a0 00 00 9e 00 00 67 00 00 40 00 00 3f 00 00 3e 00 00 32 00 00 31 00 00 30 00 00 9a 00 00 99 00 00 98 00 00 97 00 00 45 00 00 44 00 00 43 00 00 42 00 00 a6 00 00 6c 00 00 9b 00 00 46 00 00 9c 00 00 3c 00 00 96 00 00 41 00 00 07 05 00 80 03 00 80 00 00 13 00 00 10 00 00 0d 07 00 c0 00 00 12 00 00 0f 00 00 0c 00 00 11 00 00 ff 63 27 82 4c 5a 12 5b 84 fc 33 37 16 59 89 4a bc
